英文原文	真实法文	模型预测法文
I can't solve this problem. It's too difficult for me.	Je ne peux pas résoudre ce problème ; il est trop difficile pour moi.	Je n'arrive pas à résoudre ce problème. C'est trop difficile pour moi.
She doesn't have many friends.	Elle a peu d'amis.	Elle n'a pas de nombreux amis.
He is anxious to know the result.	Il est impatient de connaître le résultat.	Il est impatient de connaître le résultat.
I had fun last night.	Je me suis amusée, hier soir.	J'ai eu la nuit dernière.
Please circle the right answer.	Entourez la bonne réponse, s'il vous plaît.	Veuillez <unk> le droit de la réponse.
This bird can imitate the human voice.	Cet oiseau peut imiter la voix humaine.	Cela peut <unk> la voix basse.
Today, I met my new philosophy teacher.	Aujourd'hui j'ai fait la connaissance de ma nouvelle professeur de philosophie.	Aujourd'hui, j'ai rencontré mon nouveau ami.
I'd like to go home.	J'aimerais me rendre chez moi.	J'aimerais aller chez moi.
What would you do without me?	Que feriez-vous sans moi ?	Que <unk> sans moi ?
I was threatened.	J'ai été menacé.	J'étais <unk>
I've been sent to relieve you.	J'ai été envoyé pour vous soulager.	Je t'ai envoyé à te <unk>
That's not wrong.	Ce n'est pas faux.	Ce n'est pas tort.
How about a snack?	Que dis-tu d'un en-cas ?	Que dis-tu d'un <unk> ?
I'd like to study French.	Je voudrais étudier le français.	J'aimerais étudier le français.
You're just tired.	Tu es juste fatigué.	Vous êtes juste fatigué.
You're no friend of mine.	Vous n'êtes pas de mes amis.	Vous n'êtes pas de mes amis.
You're no singer.	Vous n'êtes pas chanteur.	Vous n'êtes pas chanteuse.
Stop. You're making me blush.	Arrêtez ! Vous me faites rougir.	Tu fais rougir.
What's the matter with you?	Que vous arrive-t-il ?	Quelle est le question ?
If I'd had a little more money, I would have bought it.	Si j'avais eu un peu plus d'argent, je l'aurais acheté.	Si j'avais un peu d'argent, j'avais acheté pu le <unk>
Please breathe through your nose.	Respire par le nez, je te prie !	Veuillez <unk> votre bras !
I just don't think I can do it.	Je ne pense simplement pas que je puisse le faire.	Je ne pense simplement pas que je peux le faire.
He puts aside some money every month.	Il met quelque argent de côté tous les mois.	Il <unk> de la <unk> tous les mois.
After I graduated from college, I moved back home and lived with my parents for three years.	Après avoir été diplômé de l'école, j'ai de nouveau emménagé chez moi et vécu avec mes parents pendant trois ans.	Après avoir diplômé de l'école, j'ai mangé de rentrer chez moi durant mes parents et mes parents de la maison <unk>
I can't stop sneezing.	Je n'arrive pas à m'arrêter d'éternuer.	Je ne peux pas arrêter de <unk>
He will be coming to the party.	Il viendra à la fête.	Il sera bientôt à la fête.
My colleague filled in for me while I was sick.	Mon collègue m'a remplacé pendant que j'étais malade.	Mon <unk> m'a <unk> pendant pendant que j'étais malade.
Are you good at keeping secrets?	Savez-vous garder un secret ?	Es-tu bon voyage à Londres ?
Tom made a great deal of money last year.	Tom a fait beaucoup d'argent l'année dernière.	Tom a fait une grande quantité d'argent l'année dernière.
If there's anything I can do to help, please let me know.	S'il y a quoi que ce soit que je puisse faire pour aider, faites-le moi savoir.	Si seulement ce soit que je puisse faire savoir à faire le week-end s'il vous plaît le <unk>
How do you know it's true?	Comment sais-tu que c'est vrai ?	Comment savez-vous que c'est vrai ?
I'm sorry, I dialed the wrong number.	Je suis désolé, je me suis trompé de numéro.	Je suis désolé, j'ai pris conscience de <unk>
You can't give Tom that.	Tu ne peux pas donner ça à Tom.	Vous ne pouvez pas donner cela.
That's what makes this so difficult.	C'est ce qui rend ça si difficile.	C'est ce qui fait si difficile.
The best way to predict the future is to invent it.	La meilleure façon de prédire l'avenir est de l'inventer.	Le meilleur moyen de se <unk> est <unk>
Tom is leaving.	Tom part.	Tom est à son talent.
I submitted the application myself.	J'ai moi-même soumis la candidature.	J'ai <unk> le coup de moi-même.
Would you be willing to help me clean the garage?	Seriez-vous prêt à m'aider à nettoyer le garage ?	Serais-tu disposée à m'aider à nettoyer le garage ?
The offer is too good to turn down.	L'offre est trop intéressante pour qu'on la rejette.	Le <unk> est trop <unk> pour <unk>
The movie hasn't started yet.	Le film n'est pas encore commencé.	Le film n'est pas encore <unk>
It's almost half past eleven.	Il est presque onze heures et demie.	C'est presque moitié onze heures du quart.
It's nice to meet you.	Je suis heureuse de vous rencontrer.	C'est chouette de te rencontrer.
What is the origin of the universe?	Quelle est l'origine de l'univers ?	Quelle est le <unk> de l'univers ?
I haven't completely given up the idea.	Je n'ai pas totalement abandonné l'idée.	Je n'ai pas complètement <unk> la idée.
Drink more water.	Buvez davantage d'eau !	Bois davantage d'eau.
It's been a while since I've seen you.	Ça fait un bail que je ne t'ai pas vu.	C'est un homme depuis que je vous ai vues
The storm didn't cause any damage.	La tempête n'a occasionné aucun dommage.	La tempête n'a pas l'air de véritables <unk>
She is pleased with the dress.	Elle est satisfaite par la robe.	Elle est avec l'homme de la robe.
Come back tomorrow.	Revenez demain !	Venez demain.
I took his side in the argument.	J'ai pris son parti dans la dispute.	J'ai pris sa ville dans la dispute.
It's worse than I thought.	C'est pire que je ne pensais.	Il est pire que moi.
I'll play along.	Je ferai mine de coopérer.	Je jouerai
"You had better not wear the red dress." "Why not?"	« Tu ferais mieux de ne pas mettre cette robe rouge. » « Pourquoi cela ? »	Les <unk> <unk> ne <unk> pas <unk> <unk> <unk> <unk> <unk> <unk>
I want a word with you.	Je veux avoir un mot avec toi.	Je veux un mot avec toi.
It's almost midnight. Go to bed.	Il est presque minuit. Va au lit !	Il est presque minuit.
Take a seat.	Prends place !	Prenez un fauteuil.
Are you ready to party?	Êtes-vous prêts à faire la fête ?	Es-tu prêt à notre fête ?
He does not get up early.	Il ne se lève pas tôt.	Il ne fait pas <unk>
I'll buy that.	J'achèterai ça.	Je vais acheter ça.
My sister made me a beautiful doll.	Ma sœur m'a fait une belle poupée.	Ma sœur m'a confectionné une belle poupée.
Nothing will distract us.	Rien ne nous distraira.	Rien ne nous <unk>
It's Monday.	Nous sommes lundi.	C'est <unk>
He earns a living.	Il gagne de quoi vivre.	Il gagne un <unk>
Ten years is a long time to wait.	10 ans est une longue période à attendre.	Dix ans, est une longue fois à attendre.
Something happened here, but I don't know what.	Quelque chose a eu lieu ici, mais j'ignore quoi.	Quelque chose s'est passé ici, mais je ne sais pas.
He didn't reveal his identity.	Il ne dévoila pas son identité.	Il ne <unk> pas son <unk>
I don't think I can walk any faster.	Je ne pense pas que je puisse marcher plus vite.	Je ne pense pas que je puisse marcher à manger.
It was a vase that my son broke last night.	C'était un vase que mon fils a cassé la nuit dernière.	C'était une vase que ma fils a brisé la nuit dernière.
My bicycle was stolen.	Mon vélo a été volé.	Ma bicyclette a été volé.
I don't know how to deal with this.	Je ne sais pas comment gérer ça.	Je ne sais pas comment ça avec ça.
Everything he says is true.	Tout ce qu'il dit est vrai.	Tout le monde dit qu'il est vrai.
You're not one of us.	Vous n'êtes pas des nôtres.	Vous n'êtes pas une <unk>
The store might be closed already.	Il se pourrait que le magasin soit déjà fermé.	Le magasin pourrait être fermé déjà.
We started a band because we were bored.	On a démarré un groupe parce qu'on s'emmerdait.	Nous avons commencé un groupe parce que nous étions <unk>
Don't you remember us?	Ne te rappelles-tu pas de nous ?	Ne te souviens-tu pas de nous !
I'm watching the Olympics.	Je suis en train de regarder les jeux olympiques.	Je regarde la <unk>
We eat fish raw.	Nous mangeons du poisson cru.	Nous mangeons manger des poissons
Only Takeuchi didn't accept the invitation.	Seul Takeuchi n'a pas accepté l'invitation.	Seuls <unk> ne <unk> pas attention.
That's all I care about.	C'est tout ce dont je me soucie.	C'est tout ce que j'ai besoin.
It took me a long time to get used to the noise.	M'accoutumer au bruit me prit un long moment.	Il m'a fallu une longue période de se <unk> à <unk>
They knew they must fight together to defeat the common enemy.	Ils savaient qu'ils devaient combattre ensemble pour défaire l'ennemi commun.	Elles savaient qu'ils veulent <unk> à <unk> la <unk>
I like your beard.	J'aime votre barbe.	J'aime votre barbe.
Nice shot!	Joli coup !	<unk> !
I would do it again if I had to.	Je le referais, s'il le fallait.	Je le ferai si je l'avais
That didn't work.	Ça n'a pas fonctionné.	Ça ne <unk> pas.
You're psychic.	Tu es voyant.	Vous êtes <unk>
Please lie on your stomach.	Allongez-vous sur le ventre, s'il vous plaît.	Veuillez te <unk> sur votre <unk>
You don't have to talk about it if you don't want to.	Vous n'êtes pas obligés d'en parler si vous ne le voulez pas.	Vous n'êtes pas obligées de parler si vous ne voulez pas.
I hope you two are very happy together.	J'espère que vous êtes tous deux très heureux ensemble.	J'espère que vous êtes deux heureux ensemble.
You are morons.	Vous êtes des crétins.	Vous êtes <unk>
What did you do on the weekend?	Qu'as-tu fait du week-end ?	Qu'as-tu fait le week-end ?
I'm listening to music.	Je suis en train d'écouter de la musique.	Je suis en train de la musique.
I want to know who that is.	Je veux savoir de qui il s'agit.	Je veux savoir qui c'est ça.
I just know that I don't want to be married to you.	Je sais tout simplement que je ne veux pas être marié avec vous.	Je sais juste que je ne veux pas être marié avec toi.
I don't know if I can do this.	J'ignore si je suis en mesure de faire ça.	Je ne sais pas si je peux faire ça.
You're not fit.	Vous n'êtes pas en forme.	Vous n'êtes pas forme.
I think you're being a little too careful.	Je pense que tu es un peu trop prudente.	Je pense que vous êtes un peu trop prudente.
I'll have another.	J'en prendrai une autre.	Je devrai le <unk>
Quit hassling me.	Arrête de m'embêter !	Arrête de <unk>
Do you really want to do this?	Veux-tu vraiment faire ça ?	Veux-tu vraiment faire ça ?
Is this the dictionary you're looking for?	Est-ce là le dictionnaire que tu cherches ?	Est-ce le dictionnaire que vous avez l'air ?
Go and wake Tom up.	Va réveiller Tom.	Allez réveiller Tom et Tom.
He is incompetent.	Il est incompétent.	Il est <unk>
Just leave it.	Laisse-le.	<unk> simplement !
He passed his property on to his son.	Il passa son bien à son fils.	Il est décédé son nom sur son fils.
The young man driving the car was drunk.	Le jeune homme qui conduisait la voiture était ivre.	L'homme jeune homme a été <unk>
The children were so noisy that I couldn't study.	Les enfants faisaient tant de bruit que je n'ai pas pu étudier.	Les enfants étaient si <unk> que je n'ai pas pu étudier.
I have just arrived here.	Je viens d'arriver ici.	Je viens de juste ici.
We are not alone.	Nous ne sommes pas seules.	Nous ne sommes pas seules.
I smell something burning.	Je sens quelque chose qui brûle.	Je sens quelque chose de mal.
I held up my end of the deal.	J'ai respecté ma part du contrat.	Je me <unk> mon fin de la <unk>
I'm ashamed to say that it's true.	J'ai honte de dire que c'est vrai.	J'ai honte de dire que c'est vrai.
I wanted to have a word with you about what happened.	Je voulais te toucher un mot de ce qui a eu lieu.	Je voulais m'entretenir avec un mot de ce que vous avez fait ce qui s'est passé.
Tom pretended that he didn't see it.	Tom a prétendu qu'il ne l'avait pas vu.	Tom a feint qu'il ne le voir.
A thief broke into the house to steal the money.	Un voleur s'est introduit par effraction dans la maison pour voler de l'argent.	Un voleur a cassé la maison dans la foule.
I have no intention of changing.	Je n'ai pas l'intention de changer.	Je n'ai pas de <unk>
Open these doors.	Ouvre ces portes !	Ouvrez ces portes !
I'll take those.	Je prendrai celles-là.	Je vais conduire.
When I see him, I think of my grandfather.	Quand je le vois, je pense à mon grand-père.	Quand je vois que je pense à mon grand-père.
We're going north.	Nous nous dirigeons vers le nord.	Nous allons des <unk>
He says that he enjoyed it very much.	Il dit que ça lui a beaucoup plu.	Il dit qu'il a fait très fort.
I asked Tom.	J'ai demandé à Tom.	J'ai demandé Tom.
Tom is falling asleep.	Tom tombe de sommeil.	Tom est en train de <unk>
